title,description
La Rioja Alta Rioja Gran Reserva 904 2011," La Rioja Alta Gran Reserva 904 La Rioja Alta Gran Reserva 904 is amongst the most famous wines of the Rioja region, produced only in the best vintages. A vintage rated excellent! Deep cherry-red colour with a garnet rim. Intense and complex bouquet of berry jam and orange zest, which opens up to reveal underlying spicy notes of tobacco, leather, toasted wood and chocolate. A yummy, powerful and seriously smooth affair thanks to four years of cask ageing and further bottle refinement. Full-bodied with generous dried cherry and plum fruit as well as oak spice flavours, silky tannins and a lively acidity. The finish is gentle, bearing a long aftertaste of citrus and balsamic notes. 89% Tempranillo and 11% Graciano. Tempranillo from vines over 60 years old in Briñas, Rodenzo and Villalba. Graciano from La Rioja Alta’s Montecillo vineyard in the municipality of Fuenmayor. After collection in boxes, the grapes are transported to the winery in refrigerated vehicles to preserve all their integrity. After destemming and light crushing, the grapes were put in tanks where they underwent alcoholic fermentation for 17 days. Selected batches complete malolactic fermentation naturally over 75 days. In June 2012, the wine was transferred to four-and-a-half-year-old American oak barrels, where it stayed until March 2015. During ageing, the wine was racked 8 times using traditional barrel-to-barrel methods. The final blend was bottled in November 2016. Here's another seriously stunning Spanish red we think you'll love: Check out Telmo Rodriguez Matallana 2014. 14.5%AWARDS & ACCOLADES Lovely dried red fruit, such as plums with just a hint of prunes. Cedar, walnut and leather undertones. Full-bodied with lots of fruit, considering its age, as well as hints of smoke, tobacco, bark and black tea. Some balsamic at the finish. Traditionally styled with lovely results. Drink or hold.- 94 POINTS - 94 POINTSDeep, shimmering garnet. Highly perfumed cherry, blueberry, smoked meat, coconut and floral pastille scents are complemented by a succulent herb nuance that builds as the wine opens up. Juicy and seamless on the palate, offering intense cherry-vanilla, candied rose, cola and mocha flavors sharpened by a late jolt of spiciness. Shows outstanding clarity and penetrating red fruit character on the gently tannic, impressively long, smoky finish, which leaves a repeating floral note behind. Drinking window: 2022 - 2034-94 POINTS - 96 POINTSOak and red fruit nose. The palate has mouth-watering acidity, fine-grained/well-knit tannins and notes of citrus peel, spice and baked brambles. Long finish. - 95 POINTS "
Tohu Pinot Noir 2018," Tohu Pinot Noir 2018     Tohu Pinot Noir has a bright ruby hue. Aromas of ripe red fruit, spicy florals and crushed herbs waft from the glass. Smooth medium-bodied palate with a bright acidity and refined, silky tannins. Dry in the mouth, full of juicy red cherry, plum and strawberry flavours with fine integrated French oak spices like vanilla and clove. Closes in a long and elegant finish.    100% Pinot Noir. The grapes come from both Tohu's Whenua Awa vineyard and the vines that surround their Awatere Valley winery. The cool, dry and windy climate in the Awatere Valley provides a longer and cooler growing season compared to other sub-regions of Marlborough. Brought into the world by New Zealand's first Maori-owned company. handpicking, gentle destemming and light crushing of the grapes. Batch fermentation in small open-top fermenters. The must undergos a cold soak before being warmed and either selected yeasts are added or natural yeast are used. After fermentation, the wine matures on skins in a combination of old and new French barriques. These barrels remain in a cool cellar over the winter months, before being warmed in spring, allowing the wine to undergo a secondary malolactic fermentation.        How about a Marlborough Red? Two Rivers Clouston & Co Marlborough Pinot Noir 2017 AWARDS & ACCOLADES    "
Marc Delienne Le Petit Nat 2021,"  Marc Delienne Le Petit Nat Marc Delienne Le Petit Nat is a light, refreshing and very approachable wine. Pale pink in the glass. Lots of delicate fruity aromas ranging from pink apples and bosc pear to citrus hints and subtle cinnamon spice. The lightweight palate has a high acidity that makes the wine extremely refreshing. Flavours of delicate pink flowers, dried apricot, blood orange and grapefruit mingle with spicy hints.    100% Gamay. The fruit comes from 40–80-year-old vines by Fleurie-based producer Marc Delienne. Manual harvest in small crates, sorting in the cellar. Next is a pressing before vinification with natural yeasts in concrete.   "
Hofkellerei des Fursten von Liechtenstein Premier Brut,"  Hofkellerei des Fursten von Liechtenstein Premier Brut Hofkellerei des Fursten von Liechtenstein Premier Brut has ripeness and precise interplay of fruit with acidity and complex aromas. Ripe lemon yellow colour. Stone fruit nose leads you into a creamy and round palate with a fine mousse, ripe character and long finish.  100% Riesling. The fruit comes from older vines, grown in the deep loess soils of the single vineyard Ried Karlsberg. This vineyard has been owned by the family for more than 600 years. Early harvesting for the base wine, gentle vinification with a short time on the skins. Traditional second fermentation in the bottle, two years maturing in the bottle. "
Shinas Estate The Executioner Blend 2018," Shinas Estate The Executioner Blend 2018       Shinas Estate The Executioner is their flagship wine, a premium blend of Shiraz, Cabernet Sauvignon and Viognier. Opaque burgundy to brick red colour, suggesting a lot of extraction and a little maturity. The soft and rich nose has loamy herbal aromas that develop into dark berries and mocha. The palate shows red cherry or berry fruits and a nice hit of spice. The best part is that the wine is rich but not heavy. 55% Shiraz, 43% Cabernet Sauvignon and 2% Viognier. The Executioner is produced from premium vineyards. Shinas Estate is based on the outskirts of Mildura, Victoria on the majestic Murray River. The region's Mediterranean climate and ancient soils make the perfect partnership for growing premium grapes and producing fine quality wines.  Shinas Estate Wines minimises irrigation of the vineyard, which reduces cropping levels and enhances fruit quality. The fruit is left on the vines long beyond traditional periods, allowing the intense flavours that characterise the wine to develop. In true boutique style, only the highest quality fruit is selected for harvest.  The wine receives 2 years of barrel ageing and 1 year of bottle ageing prior to its release.        "
Damiano Ciolli Silene Cesanese DOC 2019," Damiano Ciolli Silene Cesanese DOC 2019 Damiano Ciolli Silene Cesanese is the winery's entry wine and is very approachable. Ruby red colour with garnet hues. Pleasantly fruity nose of small red berries with delicate hints of iron and herbs. Crisp and lean on the palate, nicely balanced with a measured tannin that blends perfectly with a mineral hint.  100% Cesanese di Affile. The fruit comes from four vineyards planted in different periods, trained with the spurred cordon and 'fan' system. The vineyards have deep red volcanic soils and a south are situated just outside the ancient city of Rome, in the small medieval town Olevano Romano. Manual harvesting of the grapes when they reach optimal ripeness. The grapes from the various vineyards go through fermentation separately in concrete tanks. Spontaneous fermentation that lasts about 10 days. After racking, the Silene ages in cement tanks on its fine deposits for about a year. Before bottling, the different masses are assembled. After bottling, the Silene rests in the winery cellars for a further 3 months. "
Loveblock Gewurztraminer 2020," Loveblock Gewurztraminer 2020 Loveblock Gewurztraminer has a pale gold colour with hints of green. Distinctly Gewurztraminer nose. Intense floral bouquet of roses and jasmine with a touch of sweet Turkish delight and orange zest. The off-dry palate has an oily texture that exudes guava, sweet mandarin and blood orange flavours.100% Gewurztraminer. The grapes come entirely from Loveblock's family-owned Hillside vineyard in Lower Dashwood, where the elevation and windy location challenges the vines. Hillside is a 72 hectare vineyard on top of the hills overlooking the Awatere Valley, Marlborough. The soil has high levels of clay giving greater moisture retention, which is essential in the harsh natural environment of this vineyard. Machine harvesting of the grapes. Once at the winery, the grapes go through crushing, destemming, must chilling and pressing. Half of the juice was in contact with the skins for approximately 6 hours. Floating, warming of the juice and inoculation with aromatic yeast then follows. Next is a cold fermentation until the wine reaches a balance. Finally, the wine is stabilised, filtered and bottled in June 2020. Ageing potential: Cellar up to 10 years.12.5%How about a Marlborough Red? Check out Satellite Marlborough Pinot Noir 2018. AWARDS & ACCOLADES New Zealand Aromatic Wine Competition – GOLD– 4 STARS "
Rijk's Touch of Oak Pinotage 2019," Rijk's Touch of Oak Pinotage 2019    Deep red colour. Intense nose of cranberry and mulberry, with underlying cherry aromas and vanilla spice. There's a gentle presence of oak on the nose and smooth palate. The lively and fruit-forward complex palate is supported by layers of smooth tannins. Refined flavour characteristics is rounded off by a lingering presence of oak in the persistent finish. 100% pinotage. The grapes were harvest by hand at night, from a vineyard with low-yielding vines. Cold maceration for 2 days prior to fermentation to extract colour and fruit. Extraction during fermentation took place by pumping the juice over the skins 3 times per day. Skins were gently pressed before fermented dry. Malolactic fermentation took place in barrels. Matured for 18 months in 25% 2nd fill, 50% 3rd fill and 25% 4th fill French oak barrels.    14% "
Chaffey Bros Synonymous Barossa Shiraz 2018," Chaffey Bros Synonymous Barossa Shiraz 2018 Chaffey Bros Synonymous Barossa Shiraz  has a deep crimson/purple in colour with a nose of cedar, spice and plum hinting at the mix of dark fruits and chocolate lurking on the rich structured palate. The wine shows a powerful depth of flavour with plush lingering mouthfeel. A careful selection of established low-yielding vineyards stretching from the North Barossa townships of Ebenezer and Light Pass through to Lyndoch in Southern Barossa. Matured in new and seasoned French and American oak allowing the vibrant mid-palate of dark and light fruit to come to the fore.          A careful selection of established low-yielding vineyards stretching from the North Barossa townships of Ebenezer and Light Pass through to Lyndoch in Southern Barossa. Matured in new and seasoned French and American oak allowing the vibrant mid-palate of dark and light fruit to come to the fore.Fermentation takes place in a mix of open and static fermenters with 6-7 days of maceration before pressing into french and american hogsheads barrels (300L) where they mature separately for about 12 months before bottling unfined and with the minimum SO2 added. Check out Chaffey Bros blend of Shiraz and Cabernet Sauvignon.          14.7%AWARDS & ACCOLADES- 91 POINTS Eucalypt strikes from the outset though it brings raspberry and sweet plum with it. There’s a clovey, almost graphite-like note here too. This is a soft, supple, well-shaped shiraz, just complex enough and essentially easy to like.Gold Medal, Sommelier Wine Awards (Imbibe UK) 2019Wine of the Year, Gastro Pub Category - Sommelier Wine Awards (Imbibe UK) 2019Food Match Trophy, Sommelier Wine Awards (Imbibe UK), 2019 "
Meinklang Somlo Vulkán #2 NV," Meinklang Somlo Vulkán #2 NV Meinklang Somlo Vulkán #2 is a cool and funky pet nat. Perfumed nose of fresh herbs, elderflower, ripe green apples and lemon citrus. Thirst-quenching acidity and densely woven structure on the smooth palate. Crisp apple, pretty nectarine and lemon zest flavours are supported by a stoney minerality and persistent spiciness.    A blend of traditional Hungarian varietals with 60% Hárslevelű and 40% Juhfark. The fruit comes from Meinklang winery's plots of land in Somló, Hungary. An old single vineyard on ancient slopes that were once volcanoes and stand out in the middle of the famous plain called Puszta. Hárslevelü is very resistant, has an elegant character and a fruity profile capable of interpreting the mineral character of the soil. Juhfark, literally called ""sheep's tail"" because of the shape of its bunches, is considered one of the most prestigious Hungarian grapes. Harvesting the fruit by hand. Spontaneous fermentation in stainless steel with indigenous yeasts. No filtering or fining before bottling. "
Nivarius Fermentado en Barrica 2019," Nivarius Fermentado en Barrica 2019 Nivarius Fermentado en Barrica is a barrel-fermented white wine that oozes elegance. Straw yellow colour with greenish reflections. Fruity nose with floral notes and a nutty, oak-scented woodiness. The rich and balanced palate has a silky texture and lovely persistence. Orange citrus and vanilla flavours pull in one direction whilst grapefruit and wet stone minerality pull in the other, creating an amazing value and complex barrel-fermented wine.    Ageing potential: 5 years.  The fruit comes from a selection of vineyards in the Sonsierra Riojana area, Albelda de Iregua, Montes de Clavijo and Nalda. These vineyards are found in the heart of La Rioja between 700 and 800 meters of altitude, on limestone soils of Cretaceous origin. Manual harvest with optimal aromatic maturation. Light pressing then fermentation in 225-litre French oak barrels at low temperature. The wine ages on fine lees for 6 months in the same barrels, stirring daily.   AWARDS & ACCOLADES  - 92 POINTS ""Part of an increasingly impressive range from Nivarius, this is a barrel-fermented assemblage of Viura with Maturana Blanca, Garnacha Blanca and Tempranillo Blanco, introducing a new dimension to the region's whites. Perfumed and finely oaked, it has thrilling acidity, saline, pink grapefruit and orange zest flavours and good focus. 2021-2024."" "
Bodegas Muga Aro 2016," Bodegas Muga Aro 2016 Bodegas Muga Aro is the winery's top wine, one of the greatest modern wines from Rioja! Intense, almost opaque black-cherry colour with purple hues. Unbelievable concentration and depth on the bouquet with a broad range of fruit, mineral and spice aromas. The full-bodied palate has a potent structure, stunning texture, firm yet elegant tannins and a splendid acidity. Full fruit flavours come to the fore, recalling red and black currants, ripe wild blackberries and strawberries. These fruit sensations pair with complementing notes of violet petals, graphite minerals, spicy cinnamon, black pepper and well-integrated oak. A solid and hearty red with great balance and a sensation of freshness. Closes with a long, full and elegant finish.         70% Tempranillo and 30% Graciano. The grapes come from 60-year-old vines in south-west facing plots on the foothills of the Obarene Mountains in the heart of Rioja Alta. The region's distinctive climate, chalky-clay and alluvial soils, and old vines are the fundamental features for a wine of such high quality. Manual harvesting of the grapes, then destemming and a cold maceration. Natural and spontaneous fermentation with indigenous yeasts in small oak vats without temperature control. Following fermentation, the wine ages for 18 months in new French oak barrels and 6 months more in wooden vats. Before bottling, the wine goes through a light fining with fresh egg whites. Check out other wines from Rioja we've got here!         14.5% AWARDS & ACCOLADES   I am speechless about this wine. It’s so deep and vertical with a stunning texture of super polished tannins and juicy acidity. Full body. Yet, it’s agile. Blackberries, black olives, chocolate, stone, cement and dried rosemary. Crazy wine. Blend of tempranillo and graciano. Release at the end of 2019. Better in 2024, but so great to taste young.  - 99 POINTS  In the same ballpark as the Torre Muga, the 2016 Aro (70% Tempranillo and 30% Graciano) is a magical wine that does everything right. Showing a slightly more classical style with less polished oak, it offers a massive bouquet of ripe black and blue fruits, candied violets, and exotic spices. Deep and full-bodied on the palate, it's flawlessly balanced, has the purity and elegance of the vintage front and center, fabulous tannins, and a great, great finish. It's approachable today (and most 2016s seem to have plenty of upfront charm) yet has the balance, concentration, and purity to evolve for 30 years or more.    - 98 POINTS  Only produced in what the Mugas consider to be the best vintages (2010, 2015 and now 2016 are the last three releases), this small production red is one of Spain's greatest wines. Marrying Tempranillo with 30% Graciano for extra backbone, it's layered, refined and deftly wooded with fennel and blackberry flavors, racy acidity, scented new French oak and remarkable balance and freshness. 2025-40   The most unusual and backward of the wines in the Muga portfolio is the Graciano-rich blend 2016 Aro, a blend of Tempranillo with 30% Graciano that is only produced when Graciano ripens properly. The grapes comes from a single vineyard that they now know quite well. 2016 was a good year for the grape, and the wine has notes of violets and dark chocolate, quite hedonistic and showy. The Graciano really lifts the Tempranillo, and the blend comes through as high pitched and vibrant, which is also the general style of the year from what I've seen. The oak is still present on the nose, and the palate shows quite tannic; the wine is going to benefit from a couple of years in bottle. If you like toasty, showy and hedonistic reds you could drink it now, but if you prefer more subtleness, you should wait for it.  - 96 POINTS  Deep, lurid violet. Hugely perfumed cherry, black currant and vanilla scents show outstanding clarity and pick up smoky mineral, oak spice and floral nuances with air. Juicy and seamless in texture, showing superb definition to intense black and blue fruit liqueur, spice cake and violet pastille flavors that smoothly blend depth and finesse. Delivers solid finishing cut, an echo of sweet dark berries and polished tannin's that add gentle grip. Drinking window: 2024 - 2034  - 95 POINTS  If you’re looking for epic Rioja, you’ve come to the right place. This wine is the Muga family’s top selection of tempranillo (70 percent) and graciano, spontaneously fermented in small wooden vats, then aged in new French oak barrels. It gives an immediate impression of power when first poured, before its tough tannins and cold Spanish aloofness submit to the warmth of the cherry fruit, luscious and lasting for minutes. Muscular up front, deliciously ripe and generous in the end, this wine will hold firm for a decade or more as the complexity of its flavours builds. "
Bodegas Toro Albalá Marques de Poley Oloroso," Bodegas Toro Albalá Marques de Poley Oloroso Bodegas Toro Albalá Marques de Poley Oloroso is dry and nutty with a noticeable salinity on the long finish. The nose opens with walnuts and almonds dipped in caramel before evolving to notes of raisins and dark chocolate. The intense and persistent palate tastes like Christmas fruit cake, closing in a dry and cinnamon spicy finish.  100% Pedro Ximénez. Bodegas Toro Albalá creates wines with 30% of grapes from their own vineyards and 70% coming from partner growers in Montilla-Moriles. The fruit is made into Oloroso sherry and ages over 10 years in a solera system, a method that adds fresh wine to old wine and builds complexity in flavour and aroma.  AWARDS & ACCOLADES  - 95 POINTS  - 89 POINTS ""Colour: light mahogany. Nose: powerful, complex, elegant, dry nuts, toasty, acetaldehyde. Palate: rich, long, fine solera notes, spicy.""  - 86 POINTS  "
First Drop “The Cream” Barossa Shiraz 2015," First Drop “The Cream” Barossa Shiraz 2015 A condensed vintage with full fat flavour! First Drop “The Cream” Barossa Shiraz is blended at the optimum time from First Drop's most prized vineyards to create the ultimate expression of Barossa Shiraz from the vintage.Purplish-black colour. Rich bouquet with a black fruit base and hints of smoke, tobacco, leather and Indian spices. Full-bodied, textured and seductive on the palate with seamless tannins. Oozes fruity flavours of rich dark plums, black cherries, blackcurrants and blackberries with layers of dark chocolate, liquorice, cinnamon and a drop of pepper spice.100% Shiraz. First Drop sources premium fruit from unique vineyards to bring you the ultimate expression of Barossa Shiraz. The blend of fruit for this wine comes from:33% Ebenezer – Anthony's vineyard is in the north of Barossa, 296 metres a.s.l. on deep red clay soils.35% Greenock – Damon's vineyard is just northeast of Greenock in the northwest of the Barossa, 330 metres a.s.l. on clay with ironstone soils.30% Seppeltsfield – Darren’s vineyard is to the north of Seppeltseld in the west of the Barossa, 285 metres a.s.l. on clay over limestone soils.The fruit goes through crushing and destemming, then fermentation at temperatures between 20–25°C for 10–12 days on skins. The ferment is managed through a variety of techniques, including ‘aerative pump overs’ and ‘drain and returns’, which assist in extracting colour, flavour and tannin from the grapes. At the end of fermentation, the wine is drained/pressed, and transferred to new American oak barriques, new French oak hogsheads, and 3- and 4-year-old French oak hogsheads to undergo malolactic fermentation (MLF). Post-MLF, sulphur dioxide is added, and the wine matures sur lie for 20 months.Ageing potential: will continue to mature for 10–15 years from vintage. Indulge now or reward yourself later.Check out what other Barossa Valley wines we have available! 15% AWARDS & ACCOLADES  - 94 POINTS - 94 POINTS  This ripe densely structured wine oozes plump plums and red currants along with licorice, mocha and slightly synthetic-feeling oak spice. The alcohol on the palate feels a touch hot, wound by grainy textured tannins. The fruit is plush and silky and the acidity gives it a tangy lift. But overall this wine feels two-dimensional—an expression of ripe primary fruit and oak. "
San Marzano Rari Nerello Mascalese Siciliane IGP 2020,"  San Marzano Rari Nerello Mascalese Siciliane IGP 2020 San Marzano Rari has a bright ruby red colour that transitions to garnet red at the edges when the glass is held at an angle. Rich aromas of black and morello cherries, blackberries, cinnamon and vanilla spices waft from the glass. The palate emerges as pleasantly dry and grippy before delicately melting into residual sweetness within tis dense texture. Fresh and lively thanks to its high acidity, mineral notes and rich fruity flavours of black currant and plum.  100% Nerello Mascalese. The grapes grow under optimal conditions in Sicily. Here, the vines dig their roots deep into limestone soils.  After harvesting, the grapes are immediately taken to the winery for sorting and are carefully broken up.    "
Wildman Astro Bunny Pét-Nat 2021," Wildman Astro Bunny Pét-Nat 2021 Wildman Astro Bunny is such a fun wine! So far out of mainstream, it's got a cartoon of a stoned rabbit on the label. Nectarine orange colour. Explosive peachy and floral aromas. Frothy mouthfuls of pink grapefruit and zingy lime with a smashable wetness that provides great gluggability.    30% Zibibbo, 26% Fiano, 24% Arneis, 17% Nero d'Avola and 3% Mataro. The fruit comes from South Australian vineyards in Adelaide Hills, Mclaren Vale and Riverland.  24 hours skin contact. Pétillant-Naturel (natural sparkling) is an ancient, natural form of fizzy wine which is bottled before the completion of primary fermentation. Chill down,gently turn the bottle upside down to mix in the fine sediment before opening! AWARDS & ACCOLADES  ""Pale, cloudy, pinky orange. Like peach skin. A medley of fresh fruits and a really attractive sour freshness. Dry, fruity, slightly mad, lots of fun but seriously well made. Clever."" — Julia Harding MW.   - 91 POINTS ""Tim recommends gently up-ending the bottle before serving to integrate the fine sediment. It makes for a lightly cloudy glassful, but that doesn’t matter because the mouthful is delicious. It’s aromatic, full of grapey, floral, blossom notes - a truly fruity friend. Red apple and orange rind, pear and juicy peach, with a round and frothy texture and a long floral finish. A blend of zibibbo, fiano, arneis, nero d’Avola and mataro sourced predominantly from the Adelaide Hills. Fun and moreish!"" "
Silver Heights The Summit 2018," Silver Heights The Summit 2018           The Summit is Silver Heights' flagship wine created from a traditional Bordeaux blend. Dark colour with a narrow ruby ring. Classic blackcurrant notes are accompanied by vanilla spice, smoked meat and chocolate accents. Bountiful tannins, great fruit concentration and beautiful minerality on the full-bodied palate.  Fun Fact: The name for this wine comes from a famous ancient Chinese poem that represents the spirit of the Ningxia people. By naming this wine “the summit”, Silver Heights proclaims their determination to produce world-class wines. 92% Cabernet Sauvignon, 8% Petit Verdot. There are two soil types in the Helan Mountain Eastern Foothills wine region: Sierozem and Eolian. Sierozem, a desert soil, is characterized by brownish gray color at the surface and lighter color below, and is based in a carbonate or hardpan layer. Different ratios of gravel, sand and clay within the Sierozem soil account for variations across wineries in the area. Eolian soil is made of wind deposited materials that consist primarily of sand or silt-sized particles. Silver Heights’ vineyards are all on Sierozem soil, with a high concentration of gravel. 100% hand picking and selection of the grapes. Cold maceration and temperature controlled fermentation. The wine ages in French oak barrels (70% new, 30% 1-year-old) for 18 months. Lees racking. Filtering by traditional Bordeaux methods to preserve complexity.               AWARDS & ACCOLADES  - 92 POINTS "
Tenuta San Guido Sassicaia 2018," Tenuta San Guido Sassicaia 2018 The vintage that was released this time last year in the flesh, was a textbook example of how a great wine can still be made in a difficult vintage. Tenuta San Guido Sassicaia 2018, on the other hand is how a masterpiece can be made.A blend of 85% Cabernet Sauvignon and 15% Cabernet Franc. A medium ruby-red; the aromatics are beautiful and elegantly perfumed, a bit shy at so young an age but, with time in the glass, it slowly reveals red plum and blossom and a green tea leaf character with a subtle menthol lift; the palate is really something and true to the finest Sassicaia – the wine is fleet of foot and glides effortlessly across the palate, with such wonderful balance and precision.Each drop contains a myriad of flavours of blue and black fruits, a touch of earth, touch of cream, the velvety ripe tannins helping to give the wine structure and stony intensity. Surprisingly approachable now this will probably be drinking well when the wine celebrates its centenary.The 2018 spent 19 months in oak, two thirds new, which is a tad more than normal, although the oak is almost imperceptible. 250-270,000 bottles produced.2018 was a fresh vintage with lots of rainfall and many days in August where the temperature dropped below average. The result was that the fruit had more hang-time with harvest taking place 7-10 days later than normal. In the Sassicaia 2018 this slow phenolic ripeness has resulted in greater complexity and brighter acidity than were evident in the 2017 and are hallmarks of a spectacular wine.14.4% AWARDS & ACCOLADES  Beautiful, serene aromas of sweet berries and wild flowers with light lavender and fresh sage. Really aromatic. A firm, silky red with medium to full body and ultra fine tannins that are polished and beautiful. Lots of blue fruit and blackberries follow through to a beautiful finish. Really tight and polished. Bright acidity. Will be lovely to drink in a few years. The 2017 and 2016 were about power, but the 2018 is about finesse and subtlety.-98 POINTS All about radiance and finesse, this iconic Tuscan red has beguiling aromas of cedar, wild red berry, menthol and pipe tobacco that mingle with fragrant blue flowers. Made with 85% Cabernet Sauvignon and 15% Cabernet Franc, the focused, elegantly structured palate is vibrant and savory, delivering cassis, orange zest, licorice and a hint of coffee framed in taut, polished tannins. Bright acidity keeps it energized and balanced. Drink through 2033- 97 POINTSStar bright raspberry in color, this has an elegance and a sense of lift right from the start - a beautifully balanced, finessed and classical Sassicaia. The freshly cut and dried herbs of great Italian wines reveals themselves through the slow build up across the palate, along with gentle tobacco and liquorice notes. This is juicy and elegant, showing passion fruit and raspberry with an undertow of complexity. One to savor. - 96 POINTSRefined and complex, this red is all about finesse and restraint, starting out with floral and black currant flavors that build steadily on the palate, with olive, cedar, tobacco and spice notes adding detail as this lingers on the terrific finish. Needs five to seven years to fully emerge. Cabernet Sauvignon and Cabernet Franc. Best from 2025 through 2045. This is a classic vintage of an Italian icon now celebrating its 50th vintage. The Tenuta San Guido 2018 Bolgheri Sassicaia lays out a familiar blueprint that borrows from the proven track record of this landmark estate that extends into the hills just beyond the Tyrrhenian shores of Tuscany. This vintage is crystalline and pure in its delivery, and if you are familiar with previous editions, it is impossible to mistake this wine for anything but Sassicaia.  "
Obiz Natissa Rosso 2017," Obiz Natissa Rosso 2017 Obiz Natissa Rosso has an intense ruby red colour that turns shades of garnet with the passing of time. Intense and complex nose of wild berries, tobacco spice and vanilla. Dry, soft and full-bodied with gentle tannins and velvety texture on the palate. Persuasive flavours that lead into a long and pleasant finish of wild berries, tobacco and vanilla spice. Fun fact: Named after the river Natissa, which carried Roman ships from Aquileia to the Adriatic Sea. Today, seabirds nest along the river course.  Selection of the best Merlot and Refosco dal Peduncolo Rosso grapes. The fruit comes from vines that grow in sandy clay soils of alluvial origin in DOC Friuli Aquileia. Separate harvest of the two varieties in the first 10 days of September. Destemming of the grapes, then maceration for 12 days at 26–28°C. Frequent delestage to obtain an intense and full-bodied wine. After malolactic fermentation, the wines are blended and age in French oak barriques and tonneau for 12 months.  "
Forjas del Salnés Leirana Albariño 2020," Forjas del Salnés Leirana Albariño 2020 Another one of our Asian food pairing favorite! Hailing from D.O Rías Baixas Leirana Albariño is 100% produced from the variety Albariño. Pale, green-tinged yellow. Bright and sharply focused on the nose, displaying incisive Meyer lemon, honeysuckle, quinine, and mineral scents, along with a hint of ginger in the background. Dry, taut and light on its feet, offering intense, mineral-laced citrus and orchard fruit flavors that show no excess weight. Forjas del Salnes Leirana Albariño closes on a slight spice note, displaying strong, floral-tinged persistence. Good acidity and minerality, its aromatic complexity gives depth & intensity. The grapes originate from a 4 hectares of old, 40-70 year old vines, planted in sandy granite soils. For this traditional production, the wine is fermented in stainless steel tanks. Once finalised the wine rests on its lees. Before being released onto the market, the wine is lightly filtered. Furthermore, Leirana Albariño is earning a great name for its self. The 2012 vintage was names by the New York Times as the best wine from the D.O Rías Baixas.  12.5%Another Spanish white? AWARDS & ACCOLADES ""The first Albariño to be bottled is the 2019 Leirana, which I was also able to compare with the 2018 vintage. It's the one that represents the character of the Valle del Salnés, as it's produced with grapes from different villages across the valley. This ferments in a combination of 60% stainless steel vats and 40% oak foudres, where the wine matures for six months. Contrary to what I've seen at other addresses, this 2019 is very closed and backward; it's a vintage with very high acidity, citrus and salt. This is still a little too young. 30,000 bottles produced. The first lot of two was bottled in February 2020, when they used a little more wine from the foudre to make it more approachable, because the market demands the wines very early, and especially in 2019, the acidity is very sharp."" "
"Peter Zemmer Riesling ""Rohacker"" DOC 2016"," Peter Zemmer Riesling ""Rohacker"" DOC 2016                     This Riesling thrives under fine microclimatic conditions and in the loose, well-aerated and very calcareous soils in the valley floor near Cortina. Tender care of the vineyard and the well ventilated microclimate offer the best conditions for an optimal production of this varietal, so that an excellent quality of grapes can be guaranteed. The grapes are pressed and the stems are removed in the pneumatic tank press. A 6–8 hour cold maceration precedes pressing to enhance the fruitiness of the wine. Afterwards, the grapes are gently pressed and clarified through the natural settling of sediments. Alcoholic fermentation is carried out with pure strains of yeast at a controlled temperature of 19°C.Elegant with a fine fruitiness. Bright greenish-yellow colour. Soft scents of ripe peaches, apricot and daffodil florals waft from the glass. The dominantly fresh peach flavours has layers of green apple and soft pear, hints of tropical pineapple and mango. Delicate and dry, with an enticing acidity and lively fullness in the mouth.             13.5%                              "
Anatolikos MV Mavroudi of Thrace Red 2017," Anatolikos MV Mavroudi of Thrace Red 2017 Anatolikos MV Mavroudi of Thrace is full of juicy fruits you can't help but love!Deep ruby red colour with purple hues. The bouquet offers ripe dark plums and black berry fruit mingling with layers of tobacco, leather and coffee. The fruit-forward palate has blackberry, blueberry and plum flavours dominating. This follows with strawberry and cherry jam, a strong splash of vanilla and hints of cinnamon, liquorice and bitter chocolate. Dry, juicy flavours in the mouth with soft-textured tannins, balanced acidity and a long, complex chocolate finish.Here's a fun fact: According to Greek legend, Odysseus offered Mavroudi wine to the Cyclops Polyphemus. Read a short summary of the scene from Homer's epic poem here.        From a certified organic vineyard located on the dry hills of Avdira city with an altitude of 50–70 meters and approximately 5 km away from the Thrace Sea. The terrain is sandy with continuous cool northeast winds. Avdira’s microclimate contributes decisively in the production of high-quality products.60% Mavroudi, 20% Merlot and 20% Cabernet Sauvignon. Harvest by hand in small baskets. Fermentation in French oak barrels for 12 months. No filtering or any other treatments before bottling.Enjoy today or within 5–7 years from vintage.Interested in another Greek wine? Check out Katogi Averoff Inima Xinomavro 2015!         13.5% "
